YR elected,CD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,Other
2018,MA04,61.598,38.402,2.749,50.956,4.21,3.682
2018,MA05,61.328,38.672,3.151,47.497,4.495,6.185
2018,MA06,58.275,41.725,2.797,46.487,4.569,4.422
2018,MA07,61.531,38.469,5.517,46.862,3.369,5.783
2018,MA08,57.27,42.73,2.937,45.744,4.484,4.105
2018,MA09,51.174,48.826,2.796,40.693,5.61,2.075
2018,MD01,38.35,61.65,10.451,12.487,12.598,2.814
2018,MD02,41.478,58.522,9.011,17.831,7.206,7.43
2018,MD03,41.686,58.314,10.349,15.768,7.884,7.685
2018,MD04,43.709,56.291,17.655,11.711,6.741,7.602
2018,MD05,44.02,55.98,14.495,18.17,6.221,5.133
2018,MD06,40.224,59.776,12.113,11.357,11.549,5.204
2018,MD07,44.821,55.179,11.974,14.796,7.303,10.748
2018,MD08,40.441,59.559,10.133,13.931,9.747,6.63
2018,ME01,28.953,71.047,4.024,15.4,7.47,2.059
2018,ME02,26.309,73.691,4.867,13.223,6.62,1.6
2018,MI01,42.602,57.398,10.339,20.59,10.595,1.079
2018,MI02,44.474,55.526,19.765,11.521,10.94,2.248
2018,MI03,45.807,54.193,19.2,15.731,7.436,3.439
2018,MI04,35.738,64.262,13.411,13.083,7.212,2.031
2018,MI05,42.827,57.173,14.92,15.315,5.695,6.898
2018,MI06,37.081,62.919,14.49,10.761,8.016,3.815
2018,MI07,35.37,64.63,13.931,12.95,6.436,2.053
2018,MI08,43.115,56.885,11.864,19.875,6.731,4.645
2018,MI09,45.236,54.764,9.875,28.025,3.566,3.77
2018,MI10,40.542,59.458,10.624,23.267,4.732,1.92
2018,MI11,47.924,52.076,11.929,21.259,5.592,9.143
2018,MI12,39.589,60.411,9.127,14.918,5.69,9.854
2018,MI13,43.311,56.689,10.106,16.329,4.69,12.186
2018,MI14,46.398,53.602,11.326,19.628,5.294,10.15
2018,MN01,66.969,33.031,16.946,22.334,26.388,1.301
2018,MN02,57.622,42.378,13.254,27.217,15.751,1.4
2018,MN03,52.882,47.118,14.195,18.862,15.698,4.126
2018,MN04,52.1,47.9,9.226,25.111,13.715,4.048
2018,MN05,53.94,46.06,14.116,19.038,16.307,4.479
